" | Page %1"," | Page %1"
"SEO Toolkit","SEO Toolkit"
"General Settings","General Settings"
"301 Redirects to Home Page","301 Redirects to Home Page"
"Requests to /index.php, /cms/index, /home will be redirected to Home Page","Requests to /index.php, /cms/index, /home will be redirected to Home Page"
"Add Link Rel=""next/prev""","Add Link Rel=""next/prev"""
"Use the rel=next/prev tag to point Google where the next or the previous pages are. Click <a target=""_blank"" href=""https://webmasters.googleblog.com/2011/09/pagination-with-relnext-and-relprev.html"">here</a> to read more.","Use the rel=next/prev tag to point Google where the next or the previous pages are. Click <a target=""_blank"" href=""https://webmasters.googleblog.com/2011/09/pagination-with-relnext-and-relprev.html"">here</a> to read more."
"Add Page Number to Meta Title","Add Page Number to Meta Title"
"Adds the Page Number at the end of the Meta Title, e.g. 'Apparel | Page 5'","Adds the Page Number at the end of the Meta Title, e.g. 'Apparel | Page 5'"
"Add Page Number to Meta Description","Add Page Number to Meta Description"
"Adds the Page Number at the end of the Meta Description, e.g. 'Apparel Description | Page 5'","Adds the Page Number at the end of the Meta Description, e.g. 'Apparel Description | Page 5'"
